"id"	"P"	"G"	"ref"
1	"Segmentação externa e cerdas ausentes"	"2"	2
1	"Segmentação externa e/ou cerdas presentes"	"4"	4
2	"Antenas emparelhadas no prostômio"	"3"	3
2	"Antenas pareadas ausentes  pelos táteis ao longo do corpo  pequenas formas intersticiais"	"DINOPHILIDAE"	0
3	"Corpo longo e esbelto  formas intersticiais"	"PROTODRILIDAE (em parte)"	0
3	"Corpo curto e em forma de saco  pelágico"	"POEOBIIDAE"	0
4	"Corpo um disco achatado com segmentação indistinta  ectoparasitário"	"SPINTHERIDAE"	0
4	"O corpo não é um disco achatado  segmentação geralmente distinta  se distinta  então corpo claramente mais longo que largo"	"5"	5
5	"Dorso com séries de élitros [escamas] ou cicatrizes elitrais distintas presentes na face dorsal das bases notopodiais em vários segmentos  feltro de notosetas emaranhadas pode estar presente"	"6"	6
5	"Dorso sem élitros  cicatrizes elitrais ou feltro"	"11"	11
6	"Neuracicula distalmente em forma de martelo"	"EULEPETHIDAE"	0
6	"Neuracicula apontada distalmente"	"7"	7
7	"Prostômio com uma única antena mediana  dorso com feltro  ou notosetas em forma de arpão ou mantidas eretas sobre o dorso"	"AFRODITIDAE"	0
7	"Prostômio com uma a três antenas  dorso sem feltro  notoseta geralmente distintamente lateral em posição  nunca em forma de arpão"	"8"	8
8	"Composto de neurosetas"	"9"	9
8	"Neurosetas simples"	"10"	10
9	"Todos os segmentos posteriores com élitros  prostômio com uma a três antenas"	"SIGALIONIDAE"	0
9	"Élitros alternados com cirros dorsais ao longo de todo o comprimento do corpo  uma antena presente"	"PHOLOIDIDAE"	0
10	"Glândulas giratórias presentes  antena mediana  se presente  fixada próximo à parte posterior ou média do prostômio  notosetas ausentes"	"POLYODONTIDAE"	0
10	"Glândulas giratórias ausentes  antena mediana fixada na margem anterior do prostômio  notosetas geralmente presentes"	"POLYNOIDAE"	0
11	"Notopódios com cerdas expandidas  douradas ou acobreadas que cobrem mais ou menos o dorso"	"12"	12
11	"Notoseta de outra forma [pode estar ausente]"	"13"	13
12	"Prostômio com grande tubérculo facial e antena mediana  notoseta em rosetas"	"PALMYRIDAE"	0
12	"Prostômio sem tubérculo facial  lateral pareada e uma antena mediana presente  notoseta em fileiras transversais"	"CHRYSOPETALIDAE"	0
13	"Extremidade posterior coberta ventralmente por um escudo quitinizado"	"STERNASPIDAE"	0
13	"Extremidade posterior não coberta por um escudo"	"14"	14
